nSVM recurrence=60
###############
1 1103.51512816
2 1092.15581957
3 984.439609179
4 987.623437543
5 979.630059226
6 1089.0931707
1 969.933689604
2 1149.30421704
3 969.770690106
4 951.150158727
5 989.774560316
6 1142.2846678
7 955.227097427
8 1035.48793403
9 944.621513619
10 995.220853456
11 1089.6474829
12 972.748638059
13 1115.75755362
14 983.497495322
15 1123.68703845
1 1122.09291274
2 1051.39890889
3 987.350793965

This are the overall final results
##################################################
mu_profit: 1032.7255596
sigma:     67.9798500403
median:    992.497706886
best:      1149.30421704
worst:     944.621513619
